ts,run_id,component,operation,metric,value_ms,program_id,service_id
1776634220392,,digital_service,request,retrieveLocalData_ms,3.828188,outside-direct,store-service
1776634220393,,digital_service,request,request_total_ms,4.163254,outside-direct,store-service
1776634220,1776634220-1,integration_process,read,read_tls_setup_ms,5.653701,outside-direct,store-service
1776634220,1776634220-1,integration_process,read,read_request_response_ms,16.695058,outside-direct,store-service
1776634220,1776634220-1,integration_process,read,read_parse_ms,0.003640,outside-direct,store-service
1776634220,1776634220-1,integration_process,read,read_act_total_ms,25.275171,outside-direct,store-service
1776634220,1776634220-1,integration_process,execute,execute_total_ms,25.284711,outside-direct,
1776634226032,,digital_service,request,retrieveLocalData_ms,3.763787,outside-direct,store-service
1776634226032,,digital_service,request,request_total_ms,3.994151,outside-direct,store-service
1776634226,1776634226-1,integration_process,read,read_tls_setup_ms,5.643579,outside-direct,store-service
1776634226,1776634226-1,integration_process,read,read_request_response_ms,16.465794,outside-direct,store-service
1776634226,1776634226-1,integration_process,read,read_parse_ms,0.003520,outside-direct,store-service
1776634226,1776634226-1,integration_process,read,read_act_total_ms,25.058047,outside-direct,store-service
1776634226,1776634226-1,integration_process,execute,execute_total_ms,25.067287,outside-direct,
1776634229827,,digital_service,request,retrieveLocalData_ms,3.834569,outside-direct,store-service
1776634229827,,digital_service,request,request_total_ms,4.073593,outside-direct,store-service
1776634229,1776634229-1,integration_process,read,read_tls_setup_ms,6.550957,outside-direct,store-service
1776634229,1776634229-1,integration_process,read,read_request_response_ms,16.624537,outside-direct,store-service
1776634229,1776634229-1,integration_process,read,read_parse_ms,0.003920,outside-direct,store-service
1776634229,1776634229-1,integration_process,read,read_act_total_ms,26.127687,outside-direct,store-service
1776634229,1776634229-1,integration_process,execute,execute_total_ms,26.137046,outside-direct,
1776634233540,,digital_service,request,retrieveLocalData_ms,3.798167,outside-direct,store-service
1776634233541,,digital_service,request,request_total_ms,4.028251,outside-direct,store-service
1776634233,1776634233-1,integration_process,read,read_tls_setup_ms,5.597540,outside-direct,store-service
1776634233,1776634233-1,integration_process,read,read_request_response_ms,16.499715,outside-direct,store-service
1776634233,1776634233-1,integration_process,read,read_parse_ms,0.003761,outside-direct,store-service
1776634233,1776634233-1,integration_process,read,read_act_total_ms,24.979445,outside-direct,store-service
1776634233,1776634233-1,integration_process,execute,execute_total_ms,24.988246,outside-direct,
1776634237724,,digital_service,request,retrieveLocalData_ms,3.797267,outside-direct,store-service
1776634237724,,digital_service,request,request_total_ms,4.037012,outside-direct,store-service
1776634237,1776634237-1,integration_process,read,read_tls_setup_ms,5.595460,outside-direct,store-service
1776634237,1776634237-1,integration_process,read,read_request_response_ms,16.532636,outside-direct,store-service
1776634237,1776634237-1,integration_process,read,read_parse_ms,0.003080,outside-direct,store-service
1776634237,1776634237-1,integration_process,read,read_act_total_ms,25.032607,outside-direct,store-service
1776634237,1776634237-1,integration_process,execute,execute_total_ms,25.041667,outside-direct,
1776634241262,,digital_service,request,retrieveLocalData_ms,3.797468,outside-direct,store-service
1776634241262,,digital_service,request,request_total_ms,4.034192,outside-direct,store-service
1776634241,1776634241-1,integration_process,read,read_tls_setup_ms,5.589739,outside-direct,store-service
1776634241,1776634241-1,integration_process,read,read_request_response_ms,16.552595,outside-direct,store-service
1776634241,1776634241-1,integration_process,read,read_parse_ms,0.003680,outside-direct,store-service
1776634241,1776634241-1,integration_process,read,read_act_total_ms,25.133388,outside-direct,store-service
1776634241,1776634241-1,integration_process,execute,execute_total_ms,25.142969,outside-direct,
1776634244764,,digital_service,request,retrieveLocalData_ms,3.822208,outside-direct,store-service
1776634244765,,digital_service,request,request_total_ms,4.060331,outside-direct,store-service
1776634244,1776634244-1,integration_process,read,read_tls_setup_ms,5.599760,outside-direct,store-service
1776634244,1776634244-1,integration_process,read,read_request_response_ms,16.592316,outside-direct,store-service
1776634244,1776634244-1,integration_process,read,read_parse_ms,0.003779,outside-direct,store-service
1776634244,1776634244-1,integration_process,read,read_act_total_ms,25.089487,outside-direct,store-service
1776634244,1776634244-1,integration_process,execute,execute_total_ms,25.098688,outside-direct,
1776634248369,,digital_service,request,retrieveLocalData_ms,3.817248,outside-direct,store-service
1776634248369,,digital_service,request,request_total_ms,4.056032,outside-direct,store-service
1776634248,1776634248-1,integration_process,read,read_tls_setup_ms,5.600879,outside-direct,store-service
1776634248,1776634248-1,integration_process,read,read_request_response_ms,16.585796,outside-direct,store-service
