ts,run_id,component,operation,metric,value_ms,program_id,service_id
1776376897803,,launcher,start,retrieveProgram_ms,0.029700,5,
1776376898097,,launcher,start,compile_ms,294.721285,5,
1776376914805,,launcher,start,retrieveProgram_ms,0.030161,5,
1776376914805,,launcher,start,createCompartment_ms,0.001980,5,
1776376914805,,launcher,start,deploy_ms,0.000820,5,
1776376914805,,launcher,start,getIntegratedServices_ms,0.009981,5,
1776376914805,,launcher,start,exchangeKeys_ms,0.004340,5,
1776376914806,,launcher,start,generateAttestableDoc_ms,0.197364,5,
1776376914807,,launcher,start,generateCertificate_ms,0.861735,5,
1776376914807,,launcher,start,sign_ms,0.000840,5,
1776376914845,1776376914-1,launcher,read_write,lookupService_ms,0.010200,5,store-service
1776376914845,1776376914-1,launcher,read_write,getCertificate_ms,0.244104,5,
1776376914846,1776376914-1,launcher,read_write,getProgramPublicKey_ms,0.097822,5,
1776376915,1776376914-1,integration_process,read,decrypt_ms,0.004800,5,store-service
1776376915,1776376914-1,integration_process,read,read_act_total_ms,211.466757,5,store-service
1776376915,1776376914-1,integration_process,execute,execute_total_ms,211.485839,5,
1776376915041,,launcher,start,run_ms,233.736957,5,
1776376915041,,launcher,start,start_total_ms,236.321922,5,
1776376915083,1776376915-1,launcher,read_write,lookupService_ms,0.002319,1,store-service
1776376915084,1776376915-1,launcher,read_write,getCertificate_ms,0.194805,1,
1776376915084,1776376915-1,launcher,read_write,getProgramPublicKey_ms,0.095503,1,
