ts,run_id,component,operation,metric,value_ms,program_id,service_id
1776619731565,,launcher,start,retrieveProgram_ms,0.029240,13,
1776619731866,,launcher,start,compile_ms,300.797276,13,
1776619744844,,launcher,start,retrieveProgram_ms,0.028222,13,
1776619744845,,launcher,start,createCompartment_ms,0.001880,13,
1776619744845,,launcher,start,deploy_ms,0.000819,13,
1776619744845,,launcher,start,getIntegratedServices_ms,0.003341,13,
1776619744845,,launcher,start,exchangeKeys_ms,0.004019,13,
1776619744845,,launcher,start,generateAttestableDoc_ms,0.196165,13,
1776619744846,,launcher,start,generateCertificate_ms,0.873176,13,
1776619744846,,launcher,start,sign_ms,0.000840,13,
1776619744884,1776619744-1,launcher,read_write,lookupService_ms,0.009660,13,store-service
1776619744884,1776619744-1,launcher,read_write,getCertificate_ms,0.245226,13,
1776619744884,1776619744-1,launcher,read_write,getProgramPublicKey_ms,0.106582,13,
1776619744,1776619744-1,integration_process,read,decrypt_ms,0.004681,13,store-service
1776619744,1776619744-1,integration_process,read,read_act_total_ms,34.812781,13,store-service
1776619744,1776619744-1,integration_process,execute,execute_total_ms,34.830782,13,
1776619744903,,launcher,start,run_ms,56.112543,13,
1776619744903,,launcher,start,start_total_ms,58.701849,13,
1776619972549,,launcher,start,retrieveProgram_ms,0.029519,14,
1776619972846,,launcher,start,compile_ms,297.334593,14,
1776619987408,,launcher,start,retrieveProgram_ms,0.028861,14,
1776619987409,,launcher,start,createCompartment_ms,0.002081,14,
1776619987409,,launcher,start,deploy_ms,0.000880,14,
1776619987409,,launcher,start,getIntegratedServices_ms,0.003160,14,
1776619987409,,launcher,start,exchangeKeys_ms,0.004140,14,
1776619987409,,launcher,start,generateAttestableDoc_ms,0.188185,14,
1776619987410,,launcher,start,generateCertificate_ms,0.805374,14,
1776619987410,,launcher,start,sign_ms,0.000800,14,
1776619987448,1776619987-1,launcher,read_write,lookupService_ms,0.013399,14,store-service
1776619987448,1776619987-1,launcher,read_write,getCertificate_ms,0.245544,14,
1776619987448,1776619987-1,launcher,read_write,getProgramPublicKey_ms,0.098342,14,
1776619987,1776619987-1,integration_process,read,decrypt_ms,0.004720,14,store-service
1776619987,1776619987-1,integration_process,read,read_act_total_ms,33.666302,14,store-service
1776619987,1776619987-1,integration_process,execute,execute_total_ms,33.684643,14,
1776619987466,,launcher,start,run_ms,55.433451,14,
1776619987466,,launcher,start,start_total_ms,57.889716,14,
1776620120185,,launcher,start,retrieveProgram_ms,0.028921,15,
1776620120485,,launcher,start,compile_ms,300.143665,15,
1776620127533,,launcher,start,retrieveProgram_ms,0.028161,15,
1776620127533,,launcher,start,createCompartment_ms,0.001800,15,
1776620127533,,launcher,start,deploy_ms,0.000820,15,
1776620127533,,launcher,start,getIntegratedServices_ms,0.003039,15,
1776620127533,,launcher,start,exchangeKeys_ms,0.009761,15,
1776620127533,,launcher,start,generateAttestableDoc_ms,0.190984,15,
1776620127534,,launcher,start,generateCertificate_ms,0.795692,15,
1776620127534,,launcher,start,sign_ms,0.000820,15,
1776620127572,1776620127-1,launcher,read_write,lookupService_ms,0.010260,15,store-service
1776620127572,1776620127-1,launcher,read_write,getCertificate_ms,0.249704,15,
1776620127572,1776620127-1,launcher,read_write,getProgramPublicKey_ms,0.105161,15,
1776620127,1776620127-1,integration_process,read,decrypt_ms,0.005180,15,store-service
1776620127,1776620127-1,integration_process,read,read_act_total_ms,33.746364,15,store-service
1776620127,1776620127-1,integration_process,execute,execute_total_ms,33.765183,15,
1776620127590,,launcher,start,run_ms,55.525971,15,
1776620127590,,launcher,start,start_total_ms,57.969616,15,
1776620184759,,launcher,start,retrieveProgram_ms,0.029140,16,
1776620185055,,launcher,start,compile_ms,296.261855,16,
1776620193724,,launcher,start,retrieveProgram_ms,0.028702,16,
1776620193724,,launcher,start,createCompartment_ms,0.001800,16,
1776620193724,,launcher,start,deploy_ms,0.000899,16,
1776620193724,,launcher,start,getIntegratedServices_ms,0.003420,16,
1776620193724,,launcher,start,exchangeKeys_ms,0.004001,16,
1776620193724,,launcher,start,generateAttestableDoc_ms,0.186023,16,
1776620193725,,launcher,start,generateCertificate_ms,0.804854,16,
1776620193725,,launcher,start,sign_ms,0.000939,16,
1776620193763,1776620193-1,launcher,read_write,lookupService_ms,0.010241,16,store-service
1776620193763,1776620193-1,launcher,read_write,getCertificate_ms,0.239765,16,
1776620193763,1776620193-1,launcher,read_write,getProgramPublicKey_ms,0.103002,16,
1776620193,1776620193-1,integration_process,read,decrypt_ms,0.004961,16,store-service
1776620193,1776620193-1,integration_process,read,read_act_total_ms,34.088089,16,store-service
1776620193,1776620193-1,integration_process,execute,execute_total_ms,34.106668,16,
1776620193782,,launcher,start,run_ms,55.865679,16,
1776620193782,,launcher,start,start_total_ms,58.376204,16,
1776620215718,,launcher,start,retrieveProgram_ms,0.034419,17,
1776620216015,,launcher,start,compile_ms,297.590179,17,
1776620227501,,launcher,start,retrieveProgram_ms,0.031041,17,
1776620227502,,launcher,start,createCompartment_ms,0.001981,17,
1776620227502,,launcher,start,deploy_ms,0.000919,17,
1776620227502,,launcher,start,getIntegratedServices_ms,0.002959,17,
1776620227502,,launcher,start,exchangeKeys_ms,0.009259,17,
1776620227502,,launcher,start,generateAttestableDoc_ms,0.193123,17,
1776620227503,,launcher,start,generateCertificate_ms,0.802693,17,
1776620227503,,launcher,start,sign_ms,0.000760,17,
1776620227540,1776620227-1,launcher,read_write,lookupService_ms,0.013280,17,store-service
1776620227541,1776620227-1,launcher,read_write,getCertificate_ms,0.238564,17,
1776620227541,1776620227-1,launcher,read_write,getProgramPublicKey_ms,0.103501,17,
1776620227,1776620227-1,integration_process,read,decrypt_ms,0.004701,17,store-service
1776620227,1776620227-1,integration_process,read,read_act_total_ms,33.608841,17,store-service
1776620227,1776620227-1,integration_process,execute,execute_total_ms,33.627641,17,
1776620227559,,launcher,start,run_ms,55.123846,17,
1776620227559,,launcher,start,start_total_ms,57.628150,17,
1776620251502,,launcher,start,retrieveProgram_ms,0.029141,18,
1776620251799,,launcher,start,compile_ms,297.343695,18,
1776620258604,,launcher,start,retrieveProgram_ms,0.029099,18,
1776620258604,,launcher,start,createCompartment_ms,0.001820,18,
1776620258605,,launcher,start,deploy_ms,0.000939,18,
1776620258605,,launcher,start,getIntegratedServices_ms,0.003200,18,
1776620258605,,launcher,start,exchangeKeys_ms,0.003759,18,
1776620258605,,launcher,start,generateAttestableDoc_ms,0.188663,18,
1776620258606,,launcher,start,generateCertificate_ms,0.803655,18,
1776620258606,,launcher,start,sign_ms,0.000701,18,
1776620258644,1776620258-1,launcher,read_write,lookupService_ms,0.007800,18,store-service
1776620258644,1776620258-1,launcher,read_write,getCertificate_ms,0.243525,18,
1776620258644,1776620258-1,launcher,read_write,getProgramPublicKey_ms,0.099341,18,
1776620258,1776620258-1,integration_process,read,decrypt_ms,0.005199,18,store-service
1776620258,1776620258-1,integration_process,read,read_act_total_ms,33.568120,18,store-service
1776620258,1776620258-1,integration_process,execute,execute_total_ms,33.587000,18,
1776620258662,,launcher,start,run_ms,55.514392,18,
1776620258662,,launcher,start,start_total_ms,57.970197,18,
1776620290312,,launcher,start,retrieveProgram_ms,0.029841,19,
1776620290612,,launcher,start,compile_ms,299.738057,19,
1776620296523,,launcher,start,retrieveProgram_ms,0.029780,19,
1776620296523,,launcher,start,createCompartment_ms,0.001880,19,
1776620296523,,launcher,start,deploy_ms,0.000840,19,
1776620296523,,launcher,start,getIntegratedServices_ms,0.003000,19,
1776620296524,,launcher,start,exchangeKeys_ms,0.008660,19,
1776620296524,,launcher,start,generateAttestableDoc_ms,0.191203,19,
1776620296525,,launcher,start,generateCertificate_ms,0.795156,19,
1776620296525,,launcher,start,sign_ms,0.000880,19,
1776620296562,1776620296-1,launcher,read_write,lookupService_ms,0.010440,19,store-service
1776620296563,1776620296-1,launcher,read_write,getCertificate_ms,0.242085,19,
1776620296563,1776620296-1,launcher,read_write,getProgramPublicKey_ms,0.107022,19,
1776620296,1776620296-1,integration_process,read,decrypt_ms,0.004620,19,store-service
1776620296,1776620296-1,integration_process,read,read_act_total_ms,33.899365,19,store-service
1776620296,1776620296-1,integration_process,execute,execute_total_ms,33.917487,19,
1776620296581,,launcher,start,run_ms,55.879219,19,
1776620296581,,launcher,start,start_total_ms,58.347063,19,
1776620323315,,launcher,start,retrieveProgram_ms,0.028740,20,
1776620323610,,launcher,start,compile_ms,295.359458,20,
1776620331015,,launcher,start,retrieveProgram_ms,0.029161,20,
1776620331016,,launcher,start,createCompartment_ms,0.002120,20,
1776620331016,,launcher,start,deploy_ms,0.001141,20,
1776620331016,,launcher,start,getIntegratedServices_ms,0.003079,20,
1776620331016,,launcher,start,exchangeKeys_ms,0.004080,20,
1776620331016,,launcher,start,generateAttestableDoc_ms,0.183683,20,
1776620331017,,launcher,start,generateCertificate_ms,0.803514,20,
1776620331017,,launcher,start,sign_ms,0.000880,20,
1776620331055,1776620331-1,launcher,read_write,lookupService_ms,0.009981,20,store-service
1776620331056,1776620331-1,launcher,read_write,getCertificate_ms,0.235403,20,
1776620331056,1776620331-1,launcher,read_write,getProgramPublicKey_ms,0.103602,20,
1776620331,1776620331-1,integration_process,read,decrypt_ms,0.004420,20,store-service
1776620331,1776620331-1,integration_process,read,read_act_total_ms,33.876465,20,store-service
1776620331,1776620331-1,integration_process,execute,execute_total_ms,33.895505,20,
1776620331074,,launcher,start,run_ms,55.871697,20,
1776620331074,,launcher,start,start_total_ms,58.319703,20,
1776620363491,,launcher,start,retrieveProgram_ms,0.030000,21,
1776620363787,,launcher,start,compile_ms,296.304119,21,
1776620371195,,launcher,start,retrieveProgram_ms,0.028581,21,
1776620371195,,launcher,start,createCompartment_ms,0.001760,21,
1776620371195,,launcher,start,deploy_ms,0.000819,21,
1776620371195,,launcher,start,getIntegratedServices_ms,0.003520,21,
1776620371196,,launcher,start,exchangeKeys_ms,0.009280,21,
1776620371196,,launcher,start,generateAttestableDoc_ms,0.189823,21,
1776620371197,,launcher,start,generateCertificate_ms,0.790574,21,
1776620371197,,launcher,start,sign_ms,0.000939,21,
1776620371234,1776620371-1,launcher,read_write,lookupService_ms,0.009921,21,store-service
1776620371234,1776620371-1,launcher,read_write,getCertificate_ms,0.236263,21,
1776620371235,1776620371-1,launcher,read_write,getProgramPublicKey_ms,0.103502,21,
1776620371,1776620371-1,integration_process,read,decrypt_ms,0.004881,21,store-service
1776620371,1776620371-1,integration_process,read,read_act_total_ms,33.606681,21,store-service
1776620371,1776620371-1,integration_process,execute,execute_total_ms,33.625280,21,
1776620371252,,launcher,start,run_ms,55.166007,21,
1776620371253,,launcher,start,start_total_ms,57.623751,21,
1776620393955,,launcher,start,retrieveProgram_ms,0.028961,22,
1776620394254,,launcher,start,compile_ms,299.436055,22,
1776620400177,,launcher,start,retrieveProgram_ms,0.029881,22,
1776620400177,,launcher,start,createCompartment_ms,0.002040,22,
1776620400177,,launcher,start,deploy_ms,0.000980,22,
1776620400177,,launcher,start,getIntegratedServices_ms,0.003181,22,
1776620400177,,launcher,start,exchangeKeys_ms,0.004080,22,
1776620400178,,launcher,start,generateAttestableDoc_ms,0.182963,22,
